iter	RMSE
0	215.9831965
1	196.6519381
2	179.7015851
3	166.4806628
4	156.2623938
5	146.4480743
6	138.0807467
7	130.0003618
8	123.6786493
9	117.4153213
10	113.8862305
11	109.573688
12	106.2202477
13	102.9635989
14	100.2228235
15	98.04375726
16	95.60032771
17	93.857955
18	91.71588392
19	89.87341067
20	88.18193932
21	86.92459928
22	85.82266673
23	84.73399692
24	83.53114352
25	82.39885373
26	81.73586004
27	80.91232562
28	80.16258546
29	79.63301805
30	79.11286803
31	78.53715328
32	77.89410066
33	77.34836651
34	76.7569527
35	76.27074842
36	75.82490158
37	75.38369821
38	75.0315239
39	74.65760644
40	74.29006921
41	73.97275409
42	73.50338482
43	73.22347949
44	72.8995231
45	72.54569378
46	72.28509812
47	72.05169771
48	71.71287094
49	71.44727592
